-,-,-
111, -1301, 281
-110, -1551, 132
-265, -1726, 268
-166, -1772, 447
-202, -1806, 390
3, -1787, 426
296, -1803, 394
602, -1811, 269
935, -1706, 328
1117, -1516, 470
1019, -1308, 297
982, -1049, 144
909, -888, 164
807, -686, 327
714, -489, 283
714, -489, 283
489, -350, 78
409, -165, 26
489, -80, -7
618, 52, 49
618, 52, 49
596, 207, 71
225, 399, 230
-322, 570, 400
-685, 584, 456
-745, 524, 298
-679, 477, 294
-679, 477, 294
-935, 486, 533
-1471, 477, 705
-1623, 341, 552
-1134, 452, 484
-1541, 302, 922
-1899, 284, 1202
-1998, 232, 1189
-1966, 57, 1390
-1785, -86, 1498
-1641, -217, 1482
-1417, -395, 1425
-1142, -550, 1392
-796, -644, 1494
-372, -772, 1691
-105, -935, 1776
-278, -1219, 1565
-407, -1369, 1487
-368, -1466, 1503
92, -1497, 1592
496, -1509, 1767
468, -1396, 1477
564, -1163, 979
629, -1087, 713
659, -1009, 584
681, -856, 425
564, -691, 276
-,-,-
-306, -1417, 186
-442, -1647, 208
-428, -1760, 438
-277, -1803, 595
-266, -1846, 644
-153, -1762, 697
-86, -1701, 727
177, -1649, 778
435, -1518, 733
584, -1328, 665
624, -1193, 548
639, -1056, 461
629, -887, 413
653, -678, 325
656, -521, 228
656, -521, 228
606, -319, 123
533, -102, 27
406, 55, -18
382, 175, 110
342, 317, 203
185, 421, 200
185, 421, 200
46, 616, 133
-192, 715, 75
-345, 760, 102
-498, 700, 260
-674, 627, 459
-951, 618, 550
-951, 618, 550
-1407, 553, 651
-1721, 489, 544
-1689, 367, 389
-1833, 434, 590
-1998, 347, 1054
-1998, 180, 1162
-1998, 89, 1144
-1998, -52, 1084
-1887, -152, 1023
-1813, -177, 1012
-1701, -256, 1302
-1531, -408, 1344
-999, -549, 1380
-645, -865, 1648
-696, -1061, 1988
-542, -1247, 1917
-58, -1385, 1741
232, -1379, 1378
324, -1289, 1097
463, -1268, 1115
757, -1224, 1124
887, -1068, 858
735, -937, 715
-,-,-
-592, -1181, 133
-614, -1374, 60
-653, -1519, 74
-689, -1628, 159
-679, -1745, 182
-508, -1800, 274
-220, -1782, 380
66, -1760, 454
240, -1714, 578
448, -1578, 710
633, -1394, 764
