-,-,-
-29, -171, 963
-76, -133, 997
-76, -133, 997
-37, -182, 977
19, -204, 1018
21, -163, 1015
9, -162, 1027
31, -177, 980
4, -162, 966
4, -162, 966
47, -235, 918
17, -164, 988
-19, -166, 986
-6, -195, 1050
20, -45, 1125
-113, -99, 911
-113, -99, 911
-109, -129, 983
-101, -107, 923
-52, -146, 978
-66, -216, 1056
-2, -263, 1089
11, -285, 1143
20, -266, 1128
7, -254, 1134
-4, -249, 1077
-85, -221, 1069
-85, -221, 1069
-153, -198, 1077
-218, -201, 1008
-277, -199, 955
-279, -223, 883
-248, -264, 849
-232, -303, 852
-174, -349, 860
-106, -383, 837
-78, -398, 845
-21, -428, 850
34, -452, 875
81, -462, 853
66, -442, 825
66, -442, 825
49, -438, 863
30, -425, 906
44, -428, 983
16, -408, 1011
43, -387, 1010
20, -359, 996
20, -359, 996
3, -318, 972
11, -296, 961
8, -283, 965
37, -296, 988
37, -296, 988
86, -317, 998
116, -309, 980
120, -284, 966
129, -266, 988
189, -256, 1021
222, -222, 1043
241, -185, 1064
197, -130, 1081
141, -84, 1110
93, -54, 1141
93, -54, 1141
67, -12, 1111
30, 44, 1028
41, 59, 959
24, 48, 950
24, 48, 950
0, 39, 931
2, -7, 928
2, -7, 928
-40, -41, 948
-108, -42, 962
-178, -37, 962
-193, -70, 1000
-214, -90, 980
-231, -96, 955
-231, -96, 955
-244, -122, 989
-277, -151, 1088
-278, -179, 1118
-337, -172, 1107
-410, -180, 1110
-364, -224, 1143
-356, -254, 1128
-329, -307, 1059
-292, -367, 1016
-278, -407, 992
-229, -477, 968
-175, -542, 923
-148, -588, 895
-146, -592, 883
-59, -595, 861
57, -589, 864
184, -572, 889
147, -482, 878
142, -384, 886
142, -384, 886
242, -321, 906
277, -257, 960
307, -225, 1012
